," This is a citation overview for a set of 2000 documents.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 98 (Of the 2000 documents considered for the h-index, 98 have been cited at least 98 times.)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,subtotal,>2022,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2247,578,596,917,1099,1475,1904,2106,2349,2688,3154,4125,5184,5759,6980,9310,9815,58039,8611,68897
2024,"A note on set theoretical solutions of the Yang-Baxter equation with trivial retraction","Zadunaisky P.",00224049,"Journal of Pure and Applied Algebra",228, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Compact groups from semi-analytical models of galaxy formation – IV: Effect of group assembly on the evolution of their galaxies","Zandivarez A., Diaz-Gimenez E., Taverna A., Mamon G.A.",00358711,"Monthly Notices of the Royal Astronomical Society",526, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Type-A quasi-periodic oscillation in the black hole transient MAXI J1348-630","Zhang L., Mendez M., Garcia F., Zhang Y., Ma R., Altamirano D., Yang Z.-X., Ma X., Tao L., Huang Y., Jia S., Zhang S.-N., Qu J., Song L., Zhang S.",00358711,"Monthly Notices of the Royal Astronomical Society",526, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Early-stage analysis of a novel insulation material based on MPCM-doped cementitious foam: Modelling of properties, identification of production process hotspots and exploration of performance trade-offs","Zhilyaev D., Fachinotti V.D., Zanoni F., Ortega A., Goracci G., Mankel C., Koenders E.A.B., Jonkers H.M.",26661659,"Developments in the Built Environment",16, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Pressure- vs. volume-controlled ventilation and their respective impact on dynamic parameters of fluid responsiveness: a cross-over animal study","Zitzmann A., Bandorf T., Merz J., Muller-Graf F., Prutz M., Frenkel P., Reuter S., Vollmar B., Fuentes N.A., Bohm S.H., Reuter D.A.",14712253,"BMC Anesthesiology",23, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"The future of CRISPR in Mycobacterium tuberculosis infection","Zein-Eddine R., Refregier G., Cervantes J., Yokobori N.K.",10217770,"Journal of Biomedical Science",30, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"Lack of accessibility and clarity in regulations concerning dog access to protected areas lowers public awareness","Zamora-Nasca L.B., Lambertucci S.A.",20452322,"Scientific Reports",13, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"Magnetic Structures and Turbulence in SN 1006 Revealed with Imaging X-Ray Polarimetry","Zhou P., Prokhorov D., Ferrazzoli R., Yang Y.-J., Slane P., Vink J., Silvestri S., Bucciantini N., Reynoso E., Moffett D., Soffitta P., Swartz D., Kaaret P., Baldini L., Costa E., Ng C.-Y., Kim D.E., Doroshenko V., Ehlert S.R., Heyl J., Marin F., Mizuno T., Pesce-Rollins M., Sgro C., Tamagawa T., Weisskopf M.C., Xie F., Agudo I., Antonelli L.A., Bachetti M., Baumgartner W.H., Bellazzini R., Bianchi S., Bongiorno S.D., Bonino R., Brez A., Capitanio F., Castellano S., Cavazzuti E., Chen C.-T., Ciprini S., De Rosa A., Del Monte E., Di Gesu L., Di Lalla N., Di Marco A., Donnarumma I., Dovciak M., Enoto T., Evangelista Y., Fabiani S., Garcia J.A., Gunji S., Hayashida K., Iwakiri W., Jorstad S.G., Kislat F., Karas V., Kitaguchi T., Kolodziejczak J.J., Krawczynski H., La Monaca F., Latronico L., Liodakis I., Maldera S., Manfreda A., Marinucci A., Marscher A.P., Marshall H.L., Matt G., Mitsuishi I., Muleri F., Negro M., O'Dell S.L., Omodei N., Oppedisano C., Papitto A., Pavlov G.G., Peirson A.L., Perri M., Petrucci P.-O., Pilia M., Possenti A., Poutanen J., Puccetti S., Ramsey B.D., Rankin J., Ratheesh A., Roberts O., Romani R.W., Spandre G., Tavecchio F., Taverna R., Tawara Y., Tennant A.F., Thomas N.E., Tombesi F., Trois A., Tsygankov S.S., Turolla R., Wu K., Zane S.",0004637X,"Astrophysical Journal",957, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Generic options: Variable use of vos and uno in Patagonia Spanish (Argentina)","Zanfardini L., de Jonge B.",02715309,"Language and Communication",93, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Impact of CYP2C:TG Haplotype on CYP2C19 Substrates Clearance In Vivo, Protein Content, and In Vitro Activity","Zubiaur P., Soria-Chacartegui P., Boone E.C., Prasad B., Dinh J., Wang W.Y., Zugbi S., Rodriguez-Lopez A., Gonzalez-Iglesias E., Leeder J.S., Abad-Santos F., Gaedigk A.",00099236,"Clinical Pharmacology and Therapeutics",114, 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Erratum: Correction to: Changes to virus taxonomy and the ICTV Statutes ratifed by the International Committee on Taxonomy of Viruses (2023) (Archives of virology (2023) 168 7 (175))","Zerbini F.M., Siddell S.G., Lefkowitz E.J., Mushegian A.R., Adriaenssens E.M., Alfenas-Zerbini P., Dempsey D.M., Dutilh B.E., Garcia M.L., Hendrickson R.C., Junglen S., Krupovic M., Kuhn J.H., Lambert A.J., Lobocka M., Oksanen H.M., Robertson D.L., Rubino L., Sabanadzovic S., Simmonds P., Smith D.B., Suzuki N., Van Doorslaer K., Vandamme A.-M., Varsani A.",14328798,"Archives of virology",168, 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"One, Two, Three ... An Explosive Outflow in IRAS 12326-6245 Revealed by ALMA","Zapata L.A., Fernandez-Lopez M., Leurini S., Ccolque E.G., Skretas I.M., Rodriguez L.F., Palau A., Menten K.M., Wyrowski F.",20418205,"Astrophysical Journal Letters",956, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Gravitational study of escape routes and residence regions of Ceres and Vesta fragments","Zain P.S., Di Sisto R.P.",00046361,"Astronomy and Astrophysics",678, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Osteogenic activity of bone: Novel approach of polyvinylidene fluoride films, marrow blood supply, and ultrasound stimulation","Zuchuat J., Halter C., Zalazar M.",26903857,"SPE Polymers",4, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Constraints to the semimajor axis of outer particles with nodal librations by general relativity effects","Zanardi M., De Elia G.C., Dugaro A., Coronel C.F.",00358711,"Monthly Notices of the Royal Astronomical Society",525, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Electrodeposited heterostructured manganese oxides on carbonized clothes for enhanced lithium polysulfides conversion as free-standing sulfur cathodes","Zubair U., Jori K., Thomas J.E., Amici J., Francia C., Bodoardo S.",03787753,"Journal of Power Sources",580, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"Description of energy intake by degree of food processing. National Survey on Nutrition and Health of 2018–2019","Zapata M.E., Rovirosa A., Carmuega E.",03250075,"Archivos Argentinos de Pediatria",121, 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Insights into clinical pharmacy practice in Latin America","Zavaleta-Monestel E., Serrano-Arias B., Milano-Gil A., Sanchez-Solis C., Arroyo-Monterrosa D.A., Munoz-Pichuante D., Morales-Vallespin J., Diaz-Madriz J.P., Vinas-Veliz M., Dalmaso-Neto S., Teixeira-Ferreira V., Rojas-Barrantes Z., Chaverri-Fernandez J.M.",25749870,"JACCP Journal of the American College of Clinical Pharmacy",6, 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Tissue Response to a Heat Resistant Silicate-Based and an Epoxy Resin-Based Endodontic Sealer Implanted in Rat Tibias","Zmener O., Pameijer C.H., Della Porta R., de Lucca R.",20763417,"Applied Sciences (Switzerland)",13, 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Rest and Stress Left Atrial Dysfunction in Patients with Atrial Fibrillation","Zagatina A., Rivadeneira Ruiz M., Ciampi Q., Wierzbowska-Drabik K., Kasprzak J., Kalinina E., Begidova I., Peteiro J., Arbucci R., Marconi S., Lowenstein J., Boshchenko A., Manganelli F., Celutkiene J., Morrone D., Merli E., Re F., Borguezan-Daros C., Haberka M., Saad A.K., Djordjevic-Dikic A., Ratanasit N.C., Rigo F., Colonna P., Pretto J.L.D.C.E.S., Mori F., D'Alfonso M.G., Ostojic M., Stanetic B., Preradovic T.K., Costantino F., Barbieri A., Citro R., Pitino A., Pepi M., Carerj S., Pellikka P.A., Picano E.",20770383,"Journal of Clinical Medicine",12, 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
