," This is a citation overview for a set of 2000 documents.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 77 (Of the 2000 documents considered for the h-index, 77 have been cited at least 77 times.)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,subtotal,>2022,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1601,211,327,446,528,800,987,1235,1577,2061,2442,2839,2869,3299,3753,4467,4584,32425,4190,38216
2023,"World Allergy Organization (WAO) Diagnosis and Rationale for Action against Cow's Milk Allergy (DRACMA) guidelines update – X – Breastfeeding a baby with cow's milk allergy","McWilliam V., Netting M.J., Volders E., Palmer D.J., Ansotegui I., Arasi S., Assa'ad A.H., Bahna S.L., Canani R.B., Bognanni A., Bozzola M., Brozek J., Chu D., Dahdah L., Dupont C., Dziechciarz P., Ebisawa M., Firmino R.T., Fiocchi A., Galli E., Kamenwa R., Lack G., Li H., Martelli A., Nowak-Wegrzyn A., Papadopoulos N.G., Pawankar R., Said M., Sanchez-Borges M., Schunemann H., Shamir R., Spergel J., Szajewska H., Terracciano L., Vandenplas Y., Waserman S., Venter C., Warner A., Wong G.W.K.",19394551,"World Allergy Organization Journal",16, 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Unanswered questions on the use of biologics in pediatric asthma","Nieto A., El-Sayed Z.A., Gomez R.M., Hossny E., Jiu-Yao W., Kalayci O., Morais-Almeida M., Phipatanakul W., Pitrez P.M., Pozo Beltran C.F., Xepapadaki P., Papadopoulos N.G.",19394551,"World Allergy Organization Journal",16, 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Messor erwini sp. n., a hitherto cryptic harvester ant in the Iberian Peninsula","Orou N., Csosz S., Arnan X., Pol R.G., Arthofer W., Schlick-Steiner B.C., Steiner F.M.",00445231,"Zoologischer Anzeiger",307, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Predictors of surgical complications in boys with hypospadias: Data from an internationa registry","Scougall K., Bryce J., Baronio F., Boal R.L., Castera J.R., Castro S., Cheetham T., Costa E.C., Darendeliler F., Davies J.H., Dirlewanger M., Gazdagh G., Globa E., Guerra-Junior G., Guran T., Herrmann G., Holterhus P.-M., Akgul A.K., Markosyan R., McElreavey K., Miranda M.L., Nordenstrom A., O'Toole S., Poyrazoglu S., Russo G., Schwitzgebel V., Stancampiano M., Steigert M., Ahmed S.F., Lucas-Herald A.K.",25165410,"World Journal of Pediatric Surgery",6, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
