," This is a citation overview for a set of 2000 documents.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 87 (Of the 2000 documents considered for the h-index, 87 have been cited at least 87 times.)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,subtotal,>2022,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,128,94,117,163,266,378,498,661,831,1007,1390,2180,3190,4655,6579,9228,11897,43134,12024,55286
2024,"Real-time 6DoF full-range markerless head pose estimation[Formula presented]","Algabri R., Shin H., Lee S.",09574174,"Expert Systems with Applications",239, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,"Ordinal classification for interval-valued data and interval-valued functional data","Alcacer A., Martinez-Garcia M., Epifanio I.",09574174,"Expert Systems with Applications",238, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,"Domain-knowledge Inspired Pseudo Supervision (DIPS) for unsupervised image-to-image translation models to support cross-domain classification","Al-Hindawi F., Rahman Siddiquee M.M., Wu T., Hu H., Sun Y.",09521976,"Engineering Applications of Artificial Intelligence",127, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,"HFM: A hybrid fusion method for underwater image enhancement","An S., Xu L., Deng Z., Zhang H.",09521976,"Engineering Applications of Artificial Intelligence",127, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"HexAI-TJAtxt: A textual dataset to advance open scientific research in total joint arthroplasty","Amirian S., Ghazaleh H., Carlson L.A., Gong M., Finger L., Plate J.F., Tafti A.P.",23523409,"Data in Brief",51, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"COVID-Net Biochem: an explainability-driven framework to building machine learning models for predicting survival and kidney injury of COVID-19 patients from clinical and biochemistry data","Aboutalebi H., Pavlova M., Shafiee M.J., Florea A., Hryniowski A., Wong A.",20452322,"Scientific Reports",13, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"An efficient churn prediction model using gradient boosting machine and metaheuristic optimization","AlShourbaji I., Helian N., Sun Y., Hussien A.G., Abualigah L., Elnaim B.",20452322,"Scientific Reports",13, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Exploring the state of the art in legal QA systems","Abdallah A., Piryani B., Jatowt A.",21961115,"Journal of Big Data",10, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"BaPreS: a software tool for predicting bacteriocins using an optimal set of features","Akhter S., Miller J.H.",14712105,"BMC Bioinformatics",24, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"FracAtlas: A Dataset for Fracture Classification, Localization and Segmentation of Musculoskeletal Radiographs","Abedeen I., Rahman M.A., Prottyasha F.Z., Ahmed T., Chowdhury T.M., Shatabda S.",20524463,"Scientific Data",10, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Netrank: network-based approach for biomarker discovery","Al-Fatlawi A., Rusadze E., Shmelkin A., Malekian N., Ozen C., Pilarsky C., Schroeder M.",14712105,"BMC Bioinformatics",24, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Structured viva validity, reliability, and acceptability as an assessment tool in health professions education: a systematic review and meta-analysis","Abuzied A.I.H., Nabag W.O.M.",14726920,"BMC Medical Education",23, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"ImmuneBuilder: Deep-Learning models for predicting the structures of immune proteins","Abanades B., Wong W.K., Boyles F., Georges G., Bujotzek A., Deane C.M.",23993642,"Communications Biology",6, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
2023,"lifex-fiber: an open tool for myofibers generation in cardiac computational models","Africa P.C., Piersanti R., Fedele M., Dede' L., Quarteroni A.",14712105,"BMC Bioinformatics",24, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
2023,"Quantum-resistance in blockchain networks","Allende M., Leon D.L., Ceron S., Pareja A., Pacheco E., Leal A., Da Silva M., Pardo A., Jones D., Worrall D.J., Merriman B., Gilmore J., Kitchener N., Venegas-Andraca S.E.",20452322,"Scientific Reports",13, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
2023,"Spatial probabilistic mapping of metabolite ensembles in mass spectrometry imaging","Abu Sammour D., Cairns J.L., Boskamp T., Marsching C., Kessler T., Ramallo Guevara C., Panitz V., Sadik A., Cordes J., Schmidt S., Mohammed S.A., Rittel M.F., Friedrich M., Platten M., Wolf I., von Deimling A., Opitz C.A., Wick W., Hopf C.",20411723,"Nature Communications",14, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
