," This is a citation overview for a set of 2000 documents.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 98 (Of the 2000 documents considered for the h-index, 98 have been cited at least 98 times.)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,subtotal,>2022,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,3,13,15,30,88,160,264,431,573,726,1027,1338,1851,2888,4330,7751,13819,35304,16935,52242
2024,"A closed-loop bin picking system for entangled wire harnesses using bimanual and dynamic manipulation","Zhang X., Domae Y., Wan W., Harada K.",07365845,"Robotics and Computer-Integrated Manufacturing",86, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,"MCoCo: Multi-level Consistency Collaborative multi-view clustering","Zhou Y., Zheng Q., Wang Y., Yan W., Shi P., Zhu J.",09574174,"Expert Systems with Applications",238, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,"A detailed protocol for cell force measurement by traction force microscopy","Zhang M., Zhang Y., Wang P., Sun Q., Wang X., Cao Y., Wei Q.",25901834,"Smart Materials in Medicine",5, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,"Benchmarking deep models on salient object detection","Zhou H., Lin Y., Yang L., Lai J., Xie X.",00313203,"Pattern Recognition",145, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"The SCIANTIX code for fission gas behaviour: Status, upgrades, separate-effect validation, and future developments","Zullo G., Pizzocri D., Luzzi L.",00223115,"Journal of Nuclear Materials",587, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Learning fair models without sensitive attributes: A generative approach","Zhu H., Dai E., Liu H., Wang S.",09252312,"Neurocomputing",561, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"cgMSI: pathogen detection within species from nanopore metagenomic sequencing data","Zhu X., Zhao L., Huang L., Yang W., Wang L., Yu R.",14712105,"BMC Bioinformatics",24, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"MSXFGP: combining improved sparrow search algorithm with XGBoost for enhanced genomic prediction","Zhou G., Gao J., Zuo D., Li J., Li R.",14712105,"BMC Bioinformatics",24, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Mental Health Information Reporting Assistant (MHIRA)—an open-source software facilitating evidence-based assessment for clinical services","Zimmermann R., Konjufca J., Sakejo P., Kilonzo M., Quevedo Y., Blum K., Biba E., Mosha T., Cottin M., Hernandez C., Kaaya S., Arenliu A., Behn A.",1471244X,"BMC Psychiatry",23, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"ECL 3.0: a sensitive peptide identification tool for cross-linking mass spectrometry data analysis","Zhou C., Dai S., Lai S., Lin Y., Zhang X., Li N., Yu W.",14712105,"BMC Bioinformatics",24, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"ARAI-MVSNet: A multi-view stereo depth estimation network with adaptive depth range and depth interval","Zhang S., Xu W., Wei Z., Zhang L., Wang Y., Liu J.",00313203,"Pattern Recognition",144, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"An adaptive multi-modal hybrid model for classifying thyroid nodules by combining ultrasound and infrared thermal images","Zhang N., Liu J., Jin Y., Duan W., Wu Z., Cai Z., Wu M.",14712105,"BMC Bioinformatics",24, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"GLENet: Boosting 3D Object Detectors with Generative Label Uncertainty Estimation","Zhang Y., Zhang Q., Zhu Z., Hou J., Yuan Y.",09205691,"International Journal of Computer Vision",131, 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"PIDray: A Large-Scale X-ray Benchmark for Real-World Prohibited Item Detection","Zhang L., Jiang L., Ji R., Fan H.",09205691,"International Journal of Computer Vision",131, 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"Improving robustness of convolutional neural networks using element-wise activation scaling","Zhang Z.-Y., Ren H., He Z., Zhou W., Liu D.",0167739X,"Future Generation Computer Systems",149, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"Analytical chemistry kernel library for spectroscopic profiling data","Zhang Y., Jin L., Ni X., Zhang Z., Cheng Y., Wang H.",2772753X,"Food Chemistry Advances",3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"DSC-MVSNet: attention aware cost volume regularization based on depthwise separable convolution for multi-view stereo","Zhang S., Wei Z., Xu W., Zhang L., Wang Y., Zhou X., Liu J.",21994536,"Complex and Intelligent Systems",9, 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"PosFuzz: augmenting greybox fuzzing with effective position distribution","Zou Y., Zou W., Zhao J.C., Zhong N., Zhang Y., Shi J., Huo W.",20964862,"Cybersecurity",6, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"scMEB: a fast and clustering-independent method for detecting differentially expressed genes in single-cell RNA-seq data","Zhu J., Yang Y.",14712164,"BMC Genomics",24, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"SVcnn: an accurate deep learning-based method for detecting structural variation based on long-read data","Zheng Y., Shang X.",14712105,"BMC Bioinformatics",24, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"SeqWiz: a modularized toolkit for next-generation protein sequence database management and analysis","Zhang P., Wang M., Zhou T., Chen D.",14712105,"BMC Bioinformatics",24, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Automated approach for quality assessment of RDF resources","Zhang S., Benis N., Cornet R.",14726947,"BMC Medical Informatics and Decision Making",23, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Deep Temporal Contrastive Clustering","Zhong Y., Huang D., Wang C.-D.",13704621,"Neural Processing Letters",55, 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"PyAGH: a python package to fast construct kinship matrices based on different levels of omic data","Zhao W., Qadri Q.R., Zhang Z., Wang Z., Pan Y., Wang Q., Zhang Z.",14712105,"BMC Bioinformatics",24, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"FinBERT–MRC: Financial Named Entity Recognition Using BERT Under the Machine Reading Comprehension Paradigm","Zhang Y., Zhang H.",13704621,"Neural Processing Letters",55, 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Bayesian kinetic modeling for tracer-based metabolomic data","Zhang X., Su Y., Lane A.N., Stromberg A.J., Fan T.W.M., Wang C.",14712105,"BMC Bioinformatics",24, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"MAW: the reproducible Metabolome Annotation Workflow for untargeted tandem mass spectrometry","Zulfiqar M., Gadelha L., Steinbeck C., Sorokina M., Peters K.",17582946,"Journal of Cheminformatics",15, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2023,"Lightweight Image Super-Resolution with ConvNeXt Residual Network","Zhang Y., Bai H., Bing Y., Liang X.",13704621,"Neural Processing Letters",55, 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"RNA independent fragment partition method based on deep learning for RNA secondary structure prediction","Zhao Q., Mao Q., Zhao Z., Yuan W., He Q., Sun Q., Yao Y., Fan X.",20452322,"Scientific Reports",13, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"A hybrid algorithm for clinical decision support in precision medicine based on machine learning","Zhang Z., Lin X., Wu S.",14712105,"BMC Bioinformatics",24, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"Evaluation of automatic discrimination between benign and malignant prostate tissue in the era of high precision digital pathology","Zhdanovich Y., Ackermann J., Wild P.J., Kollermann J., Bankov K., Doring C., Flinner N., Reis H., Wenzel M., Hoh B., Mandel P., Vogl T.J., Harter P., Filipski K., Koch I., Bernatz S.",14712105,"BMC Bioinformatics",24, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"OSLPNet: A neural network model for street lamp post extraction from street view imagery","Zhang T., Dai J., Song W., Zhao R., Zhang B.",09574174,"Expert Systems with Applications",231, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
