," This is a citation overview for a set of 2000 documents.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 76 (Of the 2000 documents considered for the h-index, 76 have been cited at least 76 times.)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,subtotal,>2022,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,45,55,125,207,258,290,358,467,580,781,1047,1347,1974,2632,4245,6204,8424,28994,8809,37848
2024,"Scanning precession electron diffraction data analysis approaches for phase mapping of precipitates in aluminium alloys","Thronsen E., Bergh T., Thorsen T.I., Christiansen E.F., Frafjord J., Crout P., van Helvoort A.T.J., Midgley P.A., Holmestad R.",03043991,"Ultramicroscopy",255, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Towards explainable motion prediction using heterogeneous graph representations","Carrasco Limeros S., Majchrowska S., Johnander J., Petersson C., Fernandez Llorca D.",0968090X,"Transportation Research Part C: Emerging Technologies",157, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Systematic review and meta-analysis: the efficiency of bacteriophages previously patented against pathogenic bacteria on food","Romero-Calle D.X., de Santana V.P., Benevides R.G., Aliaga M.T.A., Billington C., Goes-Neto A.",20464053,"Systematic Reviews",12, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Conflict of interest and risk of bias in systematic reviews on methylphenidate for attention-deficit hyperactivity disorder: a cross-sectional study","Snellman A., Carlberg S., Olsson L.",20464053,"Systematic Reviews",12, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Evaluation of randomized controlled trials: a primer and tutorial for mental health researchers","Harrer M., Cuijpers P., Schuurmans L.K.J., Kaiser T., Buntrock C., van Straten A., Ebert D.",17456215,"Trials",24, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"More efficient and inclusive time-to-event trials with covariate adjustment: a simulation study","Momal R., Li H., Trichelair P., Blum M.G.B., Balazard F.",17456215,"Trials",24, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Feasibility assessments of a dynamical approach to compartmental modelling on graphs: Scaling limits and performance analysis","Hunter E., Enright J., Miller A.",03043975,"Theoretical Computer Science",980, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
