," This is a citation overview for a set of 2000 documents.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 44 (Of the 2000 documents considered for the h-index, 44 have been cited at least 44 times.)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,subtotal,>2022,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,406,104,169,277,340,583,646,731,804,944,1092,1130,1190,1401,1386,1526,1621,13944,1229,15579
2023,"Calibration of Five-pin soil Sensor for Soil Monitoring of Greenhouses in Rwanda","Musanase C., Vodacek A., Hanyurwimfura D., Uwitonze A.",,"13th International Workshop on Computer Science and Engineering, WCSE 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Welcome to ICRERA 2023","Nasiri A., Colak I., Kurokawa F.",,"12th IEEE International Conference on Renewable Energy Research and Applications, ICRERA 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Optimum MPPT Technique for Reconfiguring the Photovoltaic Array Under Partial Shading Failure","Oufettoul H., Motahhir S., Abdelmoula I.A., Aniba G., Issa W., Mahir O.",,"12th IEEE International Conference on Renewable Energy Research and Applications, ICRERA 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Field Testing of Residential Bidirectional Electric Vehicle Charger for Power System Applications","Saxena S., Farag H., Nasr K., Hilaire L.S.",,"12th IEEE International Conference on Renewable Energy Research and Applications, ICRERA 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Fault Detection and Diagnosis Technique for a SRM Drive Based on a Multilevel Converter Using a Machine Learning Approach","Amaral T.G., Pires V.F., Foito D., Pires A.J., Martins J.F.",,"12th IEEE International Conference on Renewable Energy Research and Applications, ICRERA 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"A Review of Image Processing Methods and Segmentations for Brain Tumour Analysis","Nirmaladevi S., Jagatheswari S.",,"12th IEEE International Conference on Advanced Computing, ICoAC 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Sensor fault detection in photovoltaic systems using ensemble learning-based statistical monitoring chart","Harrou F., Sun Y., Dorbane A., Bouyeddou B.",,"11th International Conference on Smart Grid, icSmartGrid 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"A comparative study of Energy Management Systems for non-cooperative and cooperative Multi-Microgrids","Gopee Y., Blavette A., Camilleri G., Roboam X., Alonso C.",,"11th International Conference on Smart Grid, icSmartGrid 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
