," This is a citation overview for a set of 2000 documents.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 41 (Of the 2000 documents considered for the h-index, 41 have been cited at least 41 times.)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,subtotal,>2022,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,0,0,0,0,0,0,0,0,1,0,0,0,142,1637,2963,3812,4089,12644,3267,15911
2022,"Essential Circuit Analysis using LTspice®","Asadi F.",,"",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2021,"The efficiency of the system tillage during of the cultivation crops","Semenikhina Y., Kambulov S., Podlesniy D., Vladimirova T., Belousov S.",25550403,"",273, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2021,"Family of universal high-speed cultivators UKS","Parkhomenko G., Kambulov S., Bozhko I., Boyko A., Reshenkin A., Belousov S.",25550403,"",273, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Nonlinearity investigation of reliability-based topology optimization strategies with application to total hip replacement","Kharmanda G., Mulki H., Antypas I.",25550403,"",273, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Logistics of essential oil production","Timirgaleeva R., Verdysh M., Popova A., Polyakova N., Pashtetskiy V.",25550403,"",273, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"The influence of different methods of soil processing on the microbial communities composition","Krasavin D., Gorovtsov A., Krasavin E.",25550403,"",273, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Digital transformation of the sustainable architectural environment based on intelligent information systems","Bulychev L., Malysheva N., Chaykovskaya L.",25550403,"",258, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
