Scopus-21779012-Analyze-Subject

"Your query : (OA(ALL))"


Number of results : 21779012

"SUBJECT AREA",
"Medicine","7286186"
"Biochemistry, Genetics and Molecular Biology","3696633"
"Physics and Astronomy","2537807"
"Engineering","2321055"
"Agricultural and Biological Sciences","1934737"
"Computer Science","1724116"
"Mathematics","1591390"
"Social Sciences","1530671"
"Materials Science","1406058"
"Chemistry","1397812"
"Environmental Science","1220721"
"Immunology and Microbiology","1123951"
"Earth and Planetary Sciences","1113025"
"Multidisciplinary","918836"
"Neuroscience","752447"
"Pharmacology, Toxicology and Pharmaceutics","736509"
"Chemical Engineering","717479"
"Arts and Humanities","656694"
"Psychology","465629"
"Energy","462520"
"Nursing","397963"
"Economics, Econometrics and Finance","329880"
"Business, Management and Accounting","326993"
"Health Professions","281146"
"Decision Sciences","199070"
"Veterinary","197501"
"Dentistry","114029"
"Undefined","18939"
