Scopus-54517-Analyze-Subject

"Your query : (OA(ALL) AND (ABS(github) or ABS(gitlab) or ABS(""open source"")))"


Number of results : 54517

"SUBJECT AREA",
"Computer Science","30489"
"Engineering","12253"
"Mathematics","11333"
"Biochemistry, Genetics and Molecular Biology","9637"
"Physics and Astronomy","5540"
"Medicine","5407"
"Social Sciences","3783"
"Earth and Planetary Sciences","3594"
"Agricultural and Biological Sciences","2992"
"Environmental Science","2932"
"Materials Science","2681"
"Chemistry","2256"
"Decision Sciences","2168"
"Neuroscience","1913"
"Multidisciplinary","1839"
"Energy","1353"
"Chemical Engineering","1350"
"Immunology and Microbiology","959"
"Health Professions","836"
"Business, Management and Accounting","823"
"Arts and Humanities","740"
"Pharmacology, Toxicology and Pharmaceutics","497"
"Psychology","460"
"Economics, Econometrics and Finance","303"
"Nursing","93"
"Veterinary","54"
"Dentistry","49"
"Undefined","1"
